date,Travel,Flight,Shopping,Hotel
2020-06-05,22,26,75,38
2020-06-06,18,25,55,44
2020-06-07,26,36,39,48
2020-06-08,32,35,58,44
2020-06-09,26,33,51,42
2020-06-10,23,30,47,44
2020-06-11,26,32,60,45
2020-06-12,25,31,52,42
2020-06-13,18,30,58,49
2020-06-14,32,34,51,57
2020-06-15,32,35,64,50
2020-06-16,28,40,54,51
2020-06-17,30,32,70,51
2020-06-18,27,37,60,49
2020-06-19,23,30,70,52
2020-06-20,23,36,64,59
2020-06-21,21,44,47,65
2020-06-22,29,35,54,58
2020-06-23,27,38,53,57
2020-06-24,30,34,43,56
2020-06-25,28,34,53,56
2020-06-26,31,39,70,55
2020-06-27,29,38,55,62
2020-06-28,26,35,46,71
2020-06-29,33,39,57,60
2020-06-30,33,40,59,58
2020-07-01,34,37,65,62
2020-07-02,28,37,57,61
2020-07-03,27,39,62,61
2020-07-04,26,45,56,71
2020-07-05,31,43,48,84
2020-07-06,22,42,56,78
2020-07-07,28,38,54,67
2020-07-08,25,39,59,69
2020-07-09,31,44,50,71
2020-07-10,27,42,54,71
2020-07-11,29,50,65,88
2020-07-12,24,43,40,91
2020-07-13,23,54,47,73
2020-07-14,31,52,70,75
2020-07-15,31,46,59,64
2020-07-16,32,41,56,67
2020-07-17,26,43,61,65
2020-07-18,29,42,61,72
2020-07-19,33,53,63,81
2020-07-20,35,38,57,70
2020-07-21,26,38,61,67
2020-07-22,29,38,57,66
2020-07-23,26,44,67,69
2020-07-24,29,40,59,66
2020-07-25,31,42,65,75
2020-07-26,26,51,64,85
2020-07-27,35,39,52,75
2020-07-28,38,38,57,74
2020-07-29,27,46,58,76
2020-07-30,38,63,47,75
2020-07-31,29,54,76,78
2020-08-01,30,55,73,84
2020-08-02,33,52,61,95
2020-08-03,31,55,70,83
2020-08-04,33,45,60,83
2020-08-05,31,48,71,83
2020-08-06,30,48,78,89
2020-08-07,37,48,87,91
2020-08-08,35,52,65,95
2020-08-09,27,57,61,100
2020-08-10,27,46,65,89
